,w_SP,w_AAA,w_BAA,w_T10
1985-04,3.651592916931179e-16,9.627715291671279e-17,0.9999999999999994,1.5959455978986625e-16
1985-05,0.0,0.0,1.0,0.0
1985-06,1.5383369148409162e-16,0.0,1.0,9.08995101411847e-16
1985-07,0.0,7.771561172376096e-16,0.9999999999999997,2.42861286636753e-17
1985-08,0.0,1.4988010832439613e-15,0.9999999999999982,2.9451267813396242e-15
1985-10,1.1898152581368336e-16,5.273559366969494e-16,0.9999999999999992,1.5092094240998222e-16
1985-11,0.0,0.0,1.0,6.284035791725984e-16
1985-12,6.889621296230787e-17,1.8041124150158794e-16,0.9999999999999992,5.169475958410885e-16
1986-02,0.0,0.0,1.0,0.0
1986-03,5.865160693782141e-17,4.718447854656915e-16,0.9999999999999991,4.0245584642661925e-16
1986-04,0.0,8.326672684688674e-16,1.0,0.0
1986-05,0.0,0.0,1.0,2.2898349882893854e-16
1986-06,0.0,0.0,1.0,1.6878859421254333e-15
1986-07,1.576680042365565e-16,0.0,1.0,0.0
1986-08,0.0,0.0,1.0,0.0
1986-10,0.0,4.453902524570452e-16,0.9999999999999996,7.693498615957139e-16
1986-11,0.0,4.718447854656915e-16,1.0,0.0
1986-12,1.5157676647412946e-16,0.0,0.9999999999999997,3.0184188481996443e-16
1987-02,0.0,3.3306690738754696e-16,0.9999999999999993,5.551115123125783e-16
1987-03,0.0,0.0,1.0,0.0
1987-04,2.596363114858744e-16,2.220446049250313e-16,0.9999999999999988,7.7021722333370235e-16
1987-05,1.0269562977782698e-15,0.0,1.0,6.08144123274475e-16
1987-06,1.6653345369377348e-16,3.9579992030424177e-16,0.9999999999999993,1.4523353890362095e-17
1987-07,0.7879036574325202,0.0,0.21209634256748072,0.0
1987-08,0.7983394128668067,0.0,0.20166058713319412,0.0
1987-09,0.7868700874880727,2.237982717107613e-16,0.21312991251192695,7.561580130315887e-17
1987-10,0.0,0.0,1.0,1.240327285323417e-16
1987-11,2.4993229421364396e-16,0.0,1.0,7.4593109467002705e-16
1987-12,4.936914029093065e-16,0.0,1.0,0.0
1988-02,3.984102823921333e-16,0.0,0.9999999999999998,0.0
1988-03,0.0,2.7755575615628914e-16,0.9999999999999993,6.696032617270475e-16
1988-05,1.0385881368671775e-15,4.996003610813204e-16,1.0,0.0
1988-06,7.8609984983002e-16,2.858824288409778e-15,1.0,0.0
1988-07,0.0,0.0,0.9999999999999997,1.0928757898653885e-15
1988-08,3.216212954829405e-16,1.304512053934559e-15,0.9999999999999987,0.0
1988-09,2.9566913992144167e-16,8.326672684688674e-16,0.9999999999999994,0.0
1988-10,1.8858858722697862e-16,0.0,1.0,0.0
1988-11,1.4400529094440634e-16,0.0,1.0,0.0
1988-12,0.721575441055459,0.0,0.27842455894454105,6.0628086503912e-17
1989-02,0.0,0.0,1.0,2.4667767828390197e-15
1989-03,9.58960713992697e-17,9.096456227153382e-16,1.0,0.0
1989-04,3.4312479279189196e-16,9.43689570931383e-16,0.9999999999999998,0.0
1989-05,1.3697330547126204e-16,0.0,0.9999999999999996,6.314393452555578e-16
1989-06,0.0,3.131175874138137e-15,0.9999999999999989,2.1798968879993552e-15
1989-07,0.0,2.636779683484747e-16,1.0,0.0
1989-08,0.0,0.0,0.9999999999999997,8.378714388967978e-16
1989-09,0.0,1.2836953722228372e-16,0.9999999999999992,8.977193988179977e-16
1989-10,0.0,0.0,1.0,0.0
1989-11,2.060260425693912e-16,1.2490009027033011e-15,0.9999999999999989,0.0
1989-12,2.9001780311942465e-16,5.551115123125783e-17,0.9999999999999996,1.0061396355828407e-16
1990-02,0.0,7.216449660063518e-16,0.999999999999999,5.117434254131581e-16
1990-03,0.0,1.1102230246251565e-15,0.9999999999999996,0.0
1990-04,7.709049945372904e-16,0.0,1.0,2.220446049250313e-16
1990-05,6.743126535734292e-16,4.440892098500626e-16,0.9999999999999984,5.633514488234681e-16
1990-06,4.904261447912083e-16,0.0,1.0,0.0
1990-07,6.999955174982731e-16,0.0,0.9999999999999993,5.48172618408671e-16
1990-08,0.0,0.0,1.0,5.134781488891349e-16
1990-10,0.0,0.0,1.0,1.582067810090848e-15
1990-11,0.0,1.6653345369377348e-16,1.0,0.0
1990-12,1.2608272494176693e-15,0.0,1.0,3.1225021559456156e-17
1991-02,8.326672684688674e-17,2.6475795547450265e-16,0.999999999999999,6.492605692434427e-16
1991-03,0.0,3.122502256758253e-16,1.0,1.981921571303502e-16
1991-04,0.0,0.0,1.0,4.49293380277993e-16
1991-05,0.0,5.551115123125783e-16,0.9999999999999998,0.0
1991-06,4.953737052976857e-16,0.0,1.0,0.0
1991-07,6.306563731069686e-16,0.0,1.0,8.014422459012849e-16
1991-08,3.221443603645033e-16,0.0,0.9999999999999998,0.0
1991-10,4.3087520633395342e-16,3.885780586188048e-16,0.9999999999999986,6.522560283631468e-16
1991-11,1.706054705203193e-16,5.551115123125783e-17,1.0,0.0
1991-12,0.4976344901988438,7.048862464384696e-16,0.5023655098011555,1.4057758790175456e-16
1992-02,0.5030346239684902,1.3209433537823955e-15,0.4969653760315085,0.0
1992-03,0.6582358382589182,0.0,0.34176416174108254,0.0
1992-04,0.5113115797379368,0.0,0.4886884202620632,3.099581686667022e-17
1992-05,1.0824674490095276e-15,0.0,0.9999999999999996,0.0
1992-06,0.0,0.0,1.0,0.0
1992-07,0.0,1.209371048260516e-16,1.0,1.1165853629983717e-16
1992-08,0.0,8.717373632008596e-16,0.9999999999999999,3.3264469446795154e-16
1992-09,1.3634926521177704e-15,1.3504547082625057e-15,0.9999999999999969,4.943822864422599e-16
1992-10,0.0,0.0,1.0,1.4862923599888206e-16
1992-11,0.0,1.962249396323237e-15,0.9999999999999993,6.523694245218615e-16
1992-12,5.828670879282072e-16,2.528375266713848e-16,0.9999999999999998,0.0
1993-02,0.0,3.8581894208740304e-16,1.0,6.178568785518048e-17
1993-03,0.0,0.0,1.0,4.85722573273506e-16
1993-04,0.0,9.71445146547012e-17,1.0,0.0
1993-05,6.564161163494945e-17,0.0,1.0,0.0
1993-06,0.0,6.938893903907228e-16,0.9999999999999991,4.579669976578771e-16
1993-07,2.9207053145472196e-16,3.885780586188048e-16,0.9999999999999993,6.591949208711867e-17
1993-08,2.1610461346787907e-16,0.0,1.0,6.245004513516506e-16
1993-09,5.3122649459868594e-18,9.43689570931383e-16,1.0,0.0
1993-10,1.1172557027847704e-15,0.0,0.9999999999999987,5.48172618408671e-16
1993-11,0.0,4.440892098500626e-16,1.0,0.0
1993-12,0.0,8.326672684688674e-16,1.0,0.0
1994-01,0.0,0.0,1.0,0.0
