Year,Price per oz
1927,20.64
1928,20.66
1929,20.63
1930,20.65
1931,17.06
1932,20.69
1933,26.33
1934,34.69
1935,34.84
1936,34.87
1937,34.79
1938,34.85
1939,34.42
1940,33.85
1941,33.85
1942,33.85
1943,33.85
1944,33.85
1945,34.71
1946,34.71
1947,34.71
1948,34.71
1949,31.69
1950,34.72
1951,34.72
1952,34.6
1953,34.84
1954,35.04
1955,35.03
1956,34.99
1957,34.95
1958,35.1
1959,35.1
1960,35.27
1961,35.25
1962,35.23
1963,35.09
1964,35.1
1965,35.12
1966,35.13
1967,34.95
1968,39.31
1969,41.28
1970,37.38
1971,43.62
1972,64.9
1973,112.25
1974,186.5
1975,140.25
1976,134.5
1977,164.95
1978,226.0
1979,512.0
1980,589.75
1981,397.5
1982,459.6
1983,382.4
1984,308.3
1985,326.8
1986,388.75
1987,484.1
1988,410.25
1989,398.6
1990,386.2
1991,353.15
1992,332.9
1993,391.75
1994,383.25
1995,387.0
1996,369.25
1997,290.2
1998,287.8
1999,290.25
2000,274.45
2001,276.5
2002,347.2
2003,416.25
2004,435.6
2005,513.0
2006,632.0
2007,833.75
2008,869.75
2009,1087.5
2010,1405.5
2011,1574.5
2012,1664.0
2013,1204.5
2014,1206.0
2015,1060.0
2016,1145.9
2017,1291.0
2018,1279.0
2019,1523.0
2020,1891.1
2021,1820.1
2022,1830.1
2023,2072.81
2024,2610.85
