Date,Real Estate,Chg in House Price
1890,3.557296,
1891,3.209111,-0.09787911942104344
1892,3.267142,0.01808320123548235
1893,3.406416,0.0426286950490673
1894,3.969316,0.1652469927337119
1895,3.603721,-0.09210528967711307
1896,3.122064,-0.13365546333914313
1897,3.220717,0.031598647561356774
1898,3.429628,0.06486474906053541
1899,3.278748,-0.04399310945676904
1900,3.748799,0.1433629543960071
1901,3.145277,-0.16099075997406098
1902,3.708177,0.17896674919251954
1903,3.766208,0.01564946872816475
1904,3.940301,0.04622500934627083
1905,3.452841,-0.12371136113713144
1906,4.096984,0.18655449237309218
1907,4.52061,0.1033994762976862
1908,4.079575,-0.09756094863303832
1909,3.986725,-0.02275972374573343
1910,4.305896,0.08005844396089512
1911,4.207243,-0.022911143232442144
1912,4.36973,0.038620778500314756
1913,4.36973,0
1914,4.532216,0.03718444846706781
1915,4.160818,-0.08194622674647456
1916,4.555429,0.0948397646808874
1917,4.648278,0.020382054028281527
1918,4.944236,0.0636704603296101
1919,5.437499,0.09976526201419178
1920,5.959777,0.09605114410135984
1921,5.826306,-0.022395301032236636
1922,5.907549,0.013944169770691905
1923,5.994596,0.014734875665017633
1924,6.006202,0.001936077093435573
1925,6.319569,0.05217390290902646
1926,6.064233,-0.04040402122359932
1927,5.837912,-0.03732063065518754
1928,5.924959,0.014910639283360227
1929,5.803094,-0.020568074817057913
1930,5.553561,-0.042999992762481454
1931,5.100919,-0.0815048218611446
1932,4.567035,-0.10466427716260551
1933,4.392942,-0.03811948014411981
1934,4.52061,0.029062072752155554
1935,4.962085,0.09765828063026905
1936,5.121795,0.03218606694564885
1937,5.253087,0.02563398183644594
1938,5.207191,-0.008736957906846032
1939,5.139414,-0.013016038781753836
1940,5.309354,0.03306602659369329
1941,4.864185,-0.08384617036272213
1942,5.02631,0.033330352361186755
1943,5.601635,0.11446269728687652
1944,6.530623,0.16584229425872987
1945,7.299759,0.11777375604134543
1946,9.059123,0.24101672397677776
1947,10.98544,0.21263835362429684
1948,11.21158,0.02058542944115116
1949,11.2216,0.0008937188157245313
1950,11.63011,0.036403899622157176
1951,12.33346,0.06047664209538861
1952,12.87695,0.044066304183902893
1953,14.35994,0.11516624666555342
1954,14.49244,0.009227058051774595
1955,14.49244,0
1956,14.62494,0.009142697847981385
1957,15.02245,0.02718028244902193
1958,15.12183,0.006615432236419583
1959,15.13839,0.0010951055527008702
1960,15.25433,0.007658674403288712
1961,15.40339,0.009771651721183439
1962,15.45308,0.0032259132567571402
1963,15.78434,0.021436503273133845
1964,15.98309,0.012591593946911894
1965,16.24809,0.01658002301182071
1966,16.44685,0.012232822442514779
1967,16.82779,0.023161882062522565
1968,17.52343,0.04133876165557093
1969,18.74908,0.06994349850457349
1970,20.28941,0.08215496440358683
1971,21.15068,0.04244923829722014
1972,21.78007,0.029757435694738765
1973,22.52539,0.034220275692410596
1974,24.79449,0.10073521479539305
1975,26.47,0.06757590093605481
1976,28.64,0.08197959954665657
1977,32.84,0.14664804469273762
1978,38,0.15712545676004863
1979,43.22,0.13736842105263158
1980,46.42,0.07403979639055991
1981,48.78,0.05084015510555795
1982,49.06,0.005740057400573928
1983,51.39,0.04749286587851609
1984,53.79,0.04670169293636883
1985,57.81,0.07473508087005021
1986,63.37,0.09617713198408562
1987,68.344,0.07849139971595398
1988,73.279,0.07220824066487186
1989,76.498,0.0439280012008898
1990,75.972,-0.006875996758085368
1991,75.843,-0.0016979939977885827
1992,76.46300000000001,0.008174782115686341
1993,78.112,0.021565986163242234
1994,80.077,0.025156185989348767
1995,81.512,0.017920251757683303
1996,83.48899999999999,0.024254097556188015
1997,86.84700000000001,0.040220867419660244
1998,92.44200000000001,0.06442364157656577
1999,99.542,0.0768049155145929
2000,108.791,0.09291555323381084
2001,116.056,0.06677942109181823
2002,127.15100000000001,0.09560039980698987
2003,139.627,0.09811955863500876
2004,158.67,0.1363847966367535
2005,180.107,0.13510430453141753
2006,183.229,0.017334140261067166
2007,173.338,-0.05398162954554142
2008,152.545,-0.11995638578961343
2009,146.664,-0.03855255826149662
2010,140.632,-0.041128020509463736
2011,135.168,-0.0388531770862961
2012,143.869,0.06437174479166652
2013,159.282,0.1071321827495848
2014,166.46099999999998,0.045071006140053216
2015,175.11700000000002,0.052000168207568365
2016,184.40599999999998,0.053044535938829185
2017,195.852,0.062069563897053426
2018,204.703,0.04519228805424502
2019,212.248,0.03685827760218463
2020,234.39,0.10432135991858571
2021,278.631,0.18874952003071788
2022,294.423,0.05667711058712066
2023,311.019999999999,0.056371275341936755
2024,324.22,0.04244100057874434
