Frequency: Annual,Average for the year
observation_date,TB3MS
1934-01-01 00:00:00,0.2783333333333333
1935-01-01 00:00:00,0.1675
1936-01-01 00:00:00,0.1725
1937-01-01 00:00:00,0.2758333333333333
1938-01-01 00:00:00,0.065
1939-01-01 00:00:00,0.04583333333333333
1940-01-01 00:00:00,0.035833333333333335
1941-01-01 00:00:00,0.12916666666666668
1942-01-01 00:00:00,0.3425
1943-01-01 00:00:00,0.38
1944-01-01 00:00:00,0.38
1945-01-01 00:00:00,0.38
1946-01-01 00:00:00,0.38
1947-01-01 00:00:00,0.6008333333333333
1948-01-01 00:00:00,1.045
1949-01-01 00:00:00,1.115
1950-01-01 00:00:00,1.2033333333333334
1951-01-01 00:00:00,1.5175
1952-01-01 00:00:00,1.7225
1953-01-01 00:00:00,1.8908333333333334
1954-01-01 00:00:00,0.93752
1955-01-01 00:00:00,1.7243426294820716
1956-01-01 00:00:00,2.6213888888888888
1957-01-01 00:00:00,3.224566929133858
1958-01-01 00:00:00,1.7665461847389559
1959-01-01 00:00:00,3.38601593625498
1960-01-01 00:00:00,2.8729718875502006
1961-01-01 00:00:00,2.3524899598393576
1962-01-01 00:00:00,2.7723694779116466
1963-01-01 00:00:00,3.156024096385542
1964-01-01 00:00:00,3.5457370517928286
1965-01-01 00:00:00,3.9490763052208835
1966-01-01 00:00:00,4.85572
1967-01-01 00:00:00,4.293453815261044
1968-01-01 00:00:00,5.3376
1969-01-01 00:00:00,6.668467741935484
1970-01-01 00:00:00,6.391
1971-01-01 00:00:00,4.33425702811245
1972-01-01 00:00:00,4.06184
1973-01-01 00:00:00,7.0354435483870965
1974-01-01 00:00:00,7.84578313253012
1975-01-01 00:00:00,5.7863855421686745
1976-01-01 00:00:00,4.9766
1977-01-01 00:00:00,5.260963855421687
1978-01-01 00:00:00,7.178306451612904
1979-01-01 00:00:00,10.054274193548387
1980-01-01 00:00:00,11.39188
1981-01-01 00:00:00,14.036184738955823
1982-01-01 00:00:00,10.603413654618475
1983-01-01 00:00:00,8.61764
1984-01-01 00:00:00,9.540281124497993
1985-01-01 00:00:00,7.471129032258064
1986-01-01 00:00:00,5.96928
1987-01-01 00:00:00,5.77736
1988-01-01 00:00:00,6.66844
1989-01-01 00:00:00,8.11156
1990-01-01 00:00:00,7.49648
1991-01-01 00:00:00,5.3756
1992-01-01 00:00:00,3.4313147410358567
1993-01-01 00:00:00,2.99712
1994-01-01 00:00:00,4.252248995983936
1995-01-01 00:00:00,5.4896
1996-01-01 00:00:00,5.005396825396826
1997-01-01 00:00:00,5.06208
1998-01-01 00:00:00,4.77596
1999-01-01 00:00:00,4.638406374501992
2000-01-01 00:00:00,5.819800796812749
2001-01-01 00:00:00,3.3993548387096775
2002-01-01 00:00:00,1.60532
2003-01-01 00:00:00,1.00836
2004-01-01 00:00:00,1.37464
2005-01-01 00:00:00,3.14916
2006-01-01 00:00:00,4.73
2007-01-01 00:00:00,4.361952191235059
2008-01-01 00:00:00,1.3713147410358566
2009-01-01 00:00:00,0.15052
2010-01-01 00:00:00,0.13844621513944222
2011-01-01 00:00:00,0.05284
2012-01-01 00:00:00,0.0876
2013-01-01 00:00:00,0.05708
2014-01-01 00:00:00,0.03272
2015-01-01 00:00:00,0.05203187250996016
2016-01-01 00:00:00,0.31612
2017-01-01 00:00:00,0.93412
2018-01-01 00:00:00,1.936305220883534
2019-01-01 00:00:00,2.06248
2020-01-01 00:00:00,0.3547410358565737
2021-01-01 00:00:00,0.0450199203187251
2022-01-01 00:00:00,2.0247791164658633
2023-01-01 00:00:00,5.070361445783132
2024-01-01 00:00:00,4.97
