Year,S&P 500 (includes dividends)3,US Small cap (bottom decile)22,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2
1928,145.49315790346245,161.78029343835277,104.28561470593085,102.01483374748446,104.42679835800988,102.67808420601285,101.26762384377695
1929,132.64450825239172,85.8723173548454,106.95556399241065,105.68528999274699,106.95278909774547,99.98150230382483,100.53266002340472
1930,106.10518210658037,45.84216380512748,119.46205894051774,118.03301069774818,114.87687831216354,102.21959881775145,107.50547393947929
1931,65.71366174748013,27.97546299327621,134.77864926298244,126.829090633901,106.8150014087979,103.53427073306048,97.94055671626536
1932,66.90861899487196,37.56728717474572,151.81857573559907,153.77673240847906,147.12813524800953,103.31218187467337,132.38097630862674
1933,99.59079944867646,92.58782256741293,152.1148501426122,155.4431186142616,164.94694514435008,98.62114489028137,167.19115858133355
1934,96.93833616851329,109.45621994663087,150.26154862156943,165.3169425141809,193.05893791021302,99.97254715329845,216.9880851713344
1935,138.12460646489038,162.80518886305478,146.15054076820124,167.70391580898482,212.4101131455581,106.55495974335525,211.60964827604855
1936,179.64278918430344,309.4363658034263,144.31117741892933,173.60309442592674,233.2106145252003,108.41332656838803,208.7662533896543
1937,112.93615984604418,140.55287761584736,140.6895386649644,171.1085245634144,216.7196042592057,108.10370992764805,202.50154183884698
1938,150.1784929481787,146.88177626236154,144.80330408531776,183.41254906857654,243.49944956920072,110.2209227078022,208.6465242048762
1939,148.53018684064548,138.4654504825282,144.86967226635684,191.50519016325862,262.93834608616953,108.78627921361108,206.07211945858933
1940,131.73676579957333,93.74994420755583,143.8937651240146,200.41964533310852,283.6515205023729,111.58636444075906,201.22222618340825
1941,104.53290728666568,80.55757157110497,131.0659817256421,178.630407991772,270.95145565324316,92.99656030758076,183.04731212469736
1942,114.25590841672354,119.53718564110362,120.62015656013408,167.592362560585,261.3781214199581,88.13554263070912,167.88362648329712
1943,138.78390316803524,276.28842654020116,117.59924540049269,166.82962448427665,274.2900386713733,95.40124384168458,163.05938415554792
1944,161.48316372840145,458.4062737427482,115.3934013266176,167.28422997880986,285.7310208733634,108.7234149166811,159.39512922730597
1945,214.50778647136624,856.7165009571585,113.28614141049623,169.8319731177231,298.4535280834103,118.85723295078643,159.85256354882068
1946,166.27740577106616,614.1166926507823,96.26244699915112,148.26223721116915,258.9807822306681,124.86370497788121,135.3170516549181
1947,160.72061280435398,558.83568900869,88.97767947947615,137.47669594959697,238.57614803250564,139.12022797590802,124.32976888595188
1948,164.9545092965031,538.7514746289409,87.29607771328268,136.0879151359422,239.60815559097972,137.86002553915867,120.7185342918775
1949,199.2809643494965,699.9208131410956,90.13954510819092,145.45203369168263,257.84203044168146,140.90657606952885,112.55029153069903
1950,246.0729972230425,1009.4560655938097,86.11567049583866,137.89658803900426,253.7202881176259,137.85810975136005,116.40619934244555
1951,287.1125480500927,989.6478710991386,82.47403376944622,129.70694360042202,238.90163282535647,137.92007845020288,109.81716919098635
1952,336.6852828671103,993.9233425145923,83.26622216916977,131.65506503498733,247.64282139625612,142.9191384381679,108.61785607950367
1953,330.1444552567067,929.3146642249029,84.20986523680898,136.0912356133147,249.78388225998887,158.19355434216155,108.5581093604153
