Year,S&P 500 (includes dividends)3,US Small cap (bottom decile) Cum Value,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2
1928,143.8111551528879,159.91,103.08,100.83547085897993,103.21955147023243,101.49105367793241,100.09689922480621
1929,131.8777822763307,85.375949,106.337328,105.074396573995,106.33456914507781,99.40357852882704,99.9515503875969
1930,98.74528781279727,42.66236171530001,111.17567642400002,109.84575287805193,106.90854288884708,95.12922465208749,100.04844961240309
1931,55.457773989527276,23.60935097324703,113.7438345493944,107.03495828159154,90.14445473428975,87.37574552683898,82.65503875968992
1932,50.66491100000872,28.44690698766534,114.96089357907292,116.44365970167279,111.40917253887663,78.23061630218689,100.24224806201552
1933,75.9883610317284,70.6450488131681,116.06451815743202,118.60400641974435,125.8554815113109,75.24850894632208,127.56782945736434
1934,75.0851894387234,84.78112308068303,116.38756439963687,128.04896841358894,149.53698917039497,77.43538767395627,168.07170542635657
1935,110.18032313054879,129.86772433499027,116.58251357000627,133.77537939837757,169.43697072920085,84.99759887945625,168.79844961240312
1936,145.3756757910145,250.41094606272824,116.78361840591452,140.4880612585456,188.72536349597664,87.73333283342535,168.9437984496124
1937,94.00466756191786,116.99199400050662,117.10574655335085,142.42559681966594,180.39088968767183,89.98228138633235,168.55620155038758
1938,121.53172913465568,118.86386590451473,117.18186528861054,148.42634118715418,197.05157888149355,89.19612296361703,168.84689922480618
1939,120.19783979098749,112.05296638818604,117.23557364353447,154.97529933818757,212.7824778923929,88.03513978208387,166.76356589147284
1940,107.36927676790187,76.40891778010405,117.27758305742339,163.34781136372007,231.18419847038714,90.94611648043534,164.0019379844961
1941,93.656657282616,72.17586373508628,117.42906660220589,160.0445958674045,242.75999090650726,83.32062317279727,164.0019379844961
1942,111.61416273305268,116.7733299369961,117.83126115531844,163.71740846371824,255.3347182066316,86.09773388585666,164.0019379844961
1943,139.5861342080017,277.8854932510696,118.27901994770866,167.79397193446482,275.8755538352563,95.95270433035921,164.0019379844961
1944,166.15032047534245,471.6550476950404,118.72848022350996,172.11904807734297,293.98916637342546,111.86571909107982,164.0019379844961
