Date,Log_Total_Return_SP,Mkt-RF,SMB,HML,RF
1926-07-01,0.030626193541760747,2.89,-2.55,-2.39,0.22
1926-08-01,0.028490270399627426,2.64,-1.14,3.81,0.25
1926-09-01,0.006081470315867954,0.38,-1.36,0.05,0.23
1926-10-01,-0.029943876373072074,-3.27,-0.14,0.82,0.32
1926-11-01,0.02810143011087478,2.54,-0.11,-0.61,0.31
1926-12-01,0.028587456851912472,2.62,-0.07,0.06,0.28
1927-01-01,0.001998002662673058,-0.05,-0.32,4.58,0.25
1927-02-01,0.043346804503365866,4.17,0.07,2.72,0.26
1927-03-01,0.004390348301292854,0.14,-1.77,-2.38,0.3
1927-04-01,0.007174203748000453,0.47,0.39,0.65,0.25
1927-05-01,0.055907631938296086,5.45,1.55,4.8,0.3
1927-06-01,-0.02142794741362045,-2.38,0.51,-1.72,0.26
1927-07-01,0.07287864541257266,7.26,-3.27,-1.13,0.3
1927-08-01,0.022446188829829995,1.99,-0.77,-3.85,0.28
1927-09-01,0.04859966983606241,4.77,-3.6,-0.57,0.21
1927-10-01,-0.041238748016597535,-4.29,2.03,-4.47,0.25
1927-11-01,0.06513209493778215,6.52,2.78,-0.08,0.21
1927-12-01,0.022837233902757128,2.09,0.98,-1.12,0.22
1928-01-01,-0.0032051309489483358,-0.57,4.2,-0.71,0.25
1928-02-01,-0.013693327132002454,-1.69,-2.06,-0.64,0.33
1928-03-01,0.0869113719892964,8.79,-0.38,-1.11,0.29
1928-04-01,0.0437297628613252,4.25,4.14,3.25,0.22
1928-05-01,0.018232768261059684,1.52,2.7,-3.0,0.32
1928-06-01,-0.04698679122433687,-4.9,-3.76,0.28,0.31
1928-07-01,0.009455158770755197,0.63,-1.36,-0.54,0.32
1928-08-01,0.06775210205081852,6.69,-2.04,-2.13,0.32
1928-09-01,0.03091710263472161,2.87,2.4,0.84,0.27
1928-10-01,0.01705375456582762,1.31,2.24,-2.14,0.41
1928-11-01,0.11511280710050467,11.82,-1.82,2.65,0.38
1928-12-01,0.004589452333807224,0.4,-0.93,-0.52,0.06
1929-01-01,0.04879016416943205,4.66,-3.35,-1.22,0.34
1929-02-01,0.0001999800026662447,-0.34,-0.33,1.66,0.36
1929-03-01,-0.005113049386823014,-0.85,-4.91,1.57,0.34
1929-04-01,0.018134570195482678,1.47,-1.12,0.93,0.36
1929-05-01,-0.06123730947118945,-6.38,-5.44,-1.52,0.44
1929-06-01,0.09730818246699798,9.7,-2.14,-2.74,0.52
1929-07-01,0.04697900119399464,4.48,-3.87,2.67,0.33
1929-08-01,0.08194858264716733,8.14,-9.75,0.32,0.4
1929-09-01,-0.052346480372209236,-5.45,1.34,-0.79,0.35
1929-10-01,-0.21828039564822183,-20.07,-4.95,7.54,0.46
1929-11-01,-0.13353139262452263,-12.87,-0.88,5.05,0.37
1929-12-01,0.01636535408626423,1.28,-4.1,-0.14,0.37
1930-01-01,0.055907631938296086,5.61,3.49,-1.03,0.14
1930-02-01,0.02761516703297339,2.5,0.28,0.28,0.3
1930-03-01,0.07176236622689079,7.09,3.39,0.3,0.35
1930-04-01,-0.018571385585435342,-2.05,-0.35,-0.37,0.21
1930-05-01,-0.014098924379501648,-1.66,-2.1,-0.74,0.26
1930-06-01,-0.17209403663851877,-16.08,-3.59,2.4,0.27
1930-07-01,0.042292912190251365,4.12,-0.27,-1.7,0.2
1930-08-01,0.0038924147153438535,0.3,-2.16,-0.59,0.09
1930-09-01,-0.1345604933956948,-12.81,-2.41,-5.09,0.22
1930-10-01,-0.0909098753598426,-8.78,-0.2,-1.09,0.09
1930-11-01,-0.029531802606037858,-3.04,2.46,-3.81,0.13
1930-12-01,-0.0803427526825385,-7.86,-4.67,-5.69,0.14
1931-01-01,0.0620353909194527,6.25,3.47,8.24,0.15
1931-02-01,0.10363903475948588,10.88,3.45,1.63,0.04
1931-03-01,-0.06421857232665117,-6.35,2.83,-3.2,0.13
1931-04-01,-0.10447202159671107,-10.0,-4.22,-4.33,0.08
1931-05-01,-0.14156356432178688,-13.29,5.22,-6.31,0.09
1931-06-01,0.13111597785753695,13.93,-5.01,11.7,0.08
1931-07-01,-0.06795769318322709,-6.63,1.49,-2.2,0.06
1931-08-01,0.004290781417156246,0.4,-2.08,-1.7,0.03
1931-09-01,-0.33841412085855416,-28.74,-1.02,-7.24,0.03
1931-10-01,0.07779402744002016,7.99,-0.28,3.12,0.1
1931-11-01,-0.09398106347089395,-9.14,4.4,-5.19,0.17
1931-12-01,-0.1438703704197019,-13.52,-0.87,-9.19,0.12
1932-01-01,-0.013490590182499144,-1.57,4.41,9.74,0.23
1932-02-01,0.055245474225978475,5.45,-2.51,-1.47,0.23
1932-03-01,-0.11810808848032889,-11.3,2.13,-2.2,0.16
1932-04-01,-0.1963799140449949,-17.94,0.93,2.07,0.11
1932-05-01,-0.2287844312042955,-20.51,4.21,-4.08,0.06
1932-06-01,-0.0075282664207915245,-0.77,0.4,5.85,0.02
1932-07-01,0.28990460080487823,33.61,-4.29,35.52,0.02
1932-08-01,0.31590503139552084,37.12,13.46,34.2,0.03
1932-09-01,-0.029531802606037858,-2.94,-2.15,-7.37,0.03
1932-10-01,-0.1407574377162622,-13.15,-2.59,-10.47,0.02
1932-11-01,-0.06038715001509513,-5.88,1.83,-13.19,0.02
1932-12-01,0.043346804503365866,4.42,-8.3,-7.54,0.01
1933-01-01,0.01242251999855711,1.24,0.73,6.46,0.01
1933-02-01,-0.16629073972142697,-15.29,-2.63,-2.92,-0.03
1933-03-01,0.03052920503482279,3.06,3.6,7.09,0.04
1933-04-01,0.3286560554212065,38.81,3.02,20.1,0.1
1933-05-01,0.19449713272408817,21.43,35.96,18.66,0.04
1933-06-01,0.12327901616017124,13.1,8.65,-1.64,0.02
1933-07-01,-0.10114718200495781,-9.64,-1.06,3.3,0.02
1933-08-01,0.11395349007584528,12.04,-5.16,3.05,0.03
1933-09-01,-0.11238513059479083,-10.65,-0.58,-11.71,0.02
1933-10-01,-0.08719321170237737,-8.36,-0.07,-8.49,0.01
1933-11-01,0.095219266580934,9.97,-6.37,2.27,0.02
1933-12-01,0.018232768261059684,1.82,0.36,-1.99,0.02
1934-01-01,0.11911548089016212,12.6,13.21,16.2,0.05
1934-02-01,-0.025215249141063763,-2.51,5.05,1.86,0.02
1934-03-01,0.0010993954433010642,0.09,2.45,-2.59,0.02
1934-04-01,-0.01796032537699287,-1.79,2.73,-3.83,0.01
1934-05-01,-0.07526248450054686,-7.26,-0.31,-5.9,0.01
1934-06-01,0.02683665395355957,2.71,-2.18,-2.85,0.01
1934-07-01,-0.1157476085443132,-10.94,-7.12,-10.76,0.01
1934-08-01,0.0543934838303317,5.58,5.55,0.17,0.01
1934-09-01,-0.002302649062675558,-0.24,-1.5,-1.21,0.01
1934-10-01,-0.01663764115302325,-1.66,1.23,-5.0,0.01
1934-11-01,0.08010424424166136,8.33,6.6,-2.14,0.01
1934-12-01,0.0036931718376176067,0.36,3.28,-3.16,0.01
1935-01-01,-0.035109177113567896,-3.46,0.96,-1.77,0.01
1935-02-01,-0.01959064976500415,-1.96,0.32,-7.48,0.02
1935-03-01,-0.03770186718401153,-3.71,-3.43,-5.03,0.01
1935-04-01,0.08681969195256017,9.06,-1.58,4.37,0.01
1935-05-01,0.03411152962876782,3.46,-3.2,2.45,0.01
1935-06-01,0.057702710128289154,5.93,-2.53,-1.52,0.01
1935-07-01,0.0727856697256476,7.54,2.02,6.58,0.01
1935-08-01,0.0262523711440657,2.65,6.01,6.29,0.01
1935-09-01,0.025960101669531624,2.62,1.55,-4.12,0.01
1935-10-01,0.06803241039182698,7.03,2.67,-2.33,0.01
1935-11-01,0.0477419959854211,4.87,4.65,12.2,0.02
1935-12-01,0.04459088332787522,4.55,0.09,0.83,0.01
1936-01-01,0.06672363204290813,6.89,5.6,10.95,0.01
1936-02-01,0.024692612590371414,2.49,0.84,4.33,0.01
1936-03-01,0.009752291442678302,0.96,0.69,-1.59,0.02
1936-04-01,-0.08468680816719391,-8.14,-5.99,-2.28,0.02
1936-05-01,0.050788166832105096,5.19,0.89,2.55,0.02
1936-06-01,0.024009452460351854,2.4,-3.22,-1.19,0.03
1936-07-01,0.0647572472152785,6.68,1.07,2.53,0.01
1936-08-01,0.010049335853001438,0.99,0.61,3.79,0.02
1936-09-01,0.009752291442678302,0.97,3.12,0.94,0.01
1936-10-01,0.06877951539482563,7.1,-2.35,2.51,0.02
1936-11-01,0.0321767316952212,3.26,8.7,-1.25,0.01
1936-12-01,0.001998002662673058,0.2,3.87,4.14,0.0
1937-01-01,0.03304785404620042,3.35,4.49,2.78,0.01
1937-02-01,0.010939940038334263,1.08,0.64,4.28,0.02
1937-03-01,-0.002503130218118477,-0.26,-1.25,7.04,0.01
1937-04-01,-0.07612539038949137,-7.36,-3.72,-3.46,0.03
1937-05-01,-0.0077297980619412685,-0.83,-0.69,-3.46,0.06
1937-06-01,-0.04290750101127655,-4.23,-3.91,-3.12,0.03
1937-07-01,0.08562708596743697,8.91,0.88,0.81,0.03
1937-08-01,-0.04982069498395592,-4.88,0.45,-2.25,0.02
1937-09-01,-0.1459510554843043,-13.62,-7.0,-4.55,0.04
1937-10-01,-0.1005941152357026,-9.59,0.45,-1.52,0.02
1937-11-01,-0.0867568639262819,-8.33,-3.56,0.22,0.02
1937-12-01,-0.043847399780276325,-4.29,-7.92,-0.47,0.0
1938-01-01,0.004788516731797094,0.48,4.84,-1.53,0.0
1938-02-01,0.05685281159278279,5.85,0.41,-1.97,0.0
1938-03-01,-0.2733847677509566,-23.91,-4.3,-3.63,-0.01
1938-04-01,0.13531729694762964,14.48,6.4,0.45,0.01
1938-05-01,-0.0393647235222767,-3.86,-2.47,-0.24,0.0
1938-06-01,0.2142238891395562,23.89,4.22,0.37,0.0
1938-07-01,0.07064483956933196,7.33,6.69,2.28,-0.01
1938-08-01,-0.02716566807276955,-2.68,-2.48,-4.78,0.0
1938-09-01,0.008464078412129364,0.83,-2.68,-1.7,0.02
1938-10-01,0.07520023256293525,7.8,5.81,5.04,0.01
1938-11-01,-0.01816397062767118,-1.74,-2.55,-1.2,-0.06
1938-12-01,0.040757992472167826,4.16,-1.81,0.54,0.0
1939-01-01,-0.06166266039210687,-5.97,-1.54,-3.92,-0.01
1939-02-01,0.034594644764498965,3.51,0.61,2.92,0.01
1939-03-01,-0.1282880203015309,-12.03,-4.75,-8.27,-0.01
1939-04-01,-0.0018016219466282088,-0.18,1.67,-0.3,0.0
1939-05-01,0.06597498892353292,6.81,2.8,0.47,0.01
1939-06-01,-0.05466740134230821,-5.33,-1.09,-5.28,0.01
1939-07-01,0.09730818246699798,10.22,4.18,0.13,0.0
1939-08-01,-0.06924290274216072,-6.68,-4.59,-2.47,-0.01
1939-09-01,0.15614868248993138,16.89,20.57,21.76,0.01
1939-10-01,-0.005314094823768765,-0.53,-0.08,-4.79,0.0
1939-11-01,-0.03718279112771595,-3.65,-5.12,-6.3,0.0
1939-12-01,0.02887895955037677,2.93,0.92,-4.19,0.0
1940-01-01,-0.0243951568347216,-2.41,0.23,-0.77,0.0
1940-02-01,0.014297304700824394,1.44,2.52,-0.36,0.0
1940-03-01,0.020292703267762394,2.05,1.24,-1.27,0.0
1940-04-01,0.0021975835434872013,0.22,3.99,-0.22,0.0
1940-05-01,-0.24871780243364003,-22.0,-6.62,-3.72,-0.02
1940-06-01,0.0647572472152785,6.69,-2.32,4.88,0.0
1940-07-01,0.03130484982841253,3.17,0.99,-0.75,0.01
1940-08-01,0.02176149178151271,2.21,-0.18,0.55,-0.01
1940-09-01,0.023618865598634027,2.39,3.2,-1.14,0.0
1940-10-01,0.029850021968885292,3.03,0.33,4.65,0.0
1940-11-01,-0.01663764115302325,-1.65,1.98,0.16,0.0
1940-12-01,0.006876303939432064,0.69,-2.12,-0.89,0.0
1941-01-01,-0.042803122325309445,-4.18,0.98,3.83,-0.01
1941-02-01,-0.014504686202881688,-1.43,-1.56,0.89,-0.01
1941-03-01,0.008464078412129364,0.84,0.09,3.05,0.01
1941-04-01,-0.05625294155079841,-5.46,-1.67,3.41,-0.01
1941-05-01,0.013607003406216947,1.37,-0.64,0.61,0.0
1941-06-01,0.056663847117541764,5.83,1.31,0.61,0.0
1941-07-01,0.05732506661926935,5.87,5.74,7.24,0.03
1941-08-01,-0.0016012813669738792,-0.17,-0.43,-1.1,0.01
1941-09-01,-0.008738065943285299,-0.88,-0.98,-0.27,0.01
1941-10-01,-0.054033888492485624,-5.26,-2.07,1.63,0.0
1941-11-01,-0.019692633345736045,-1.95,-1.08,-0.6,0.0
1941-12-01,-0.04992580876972568,-4.88,-2.86,-5.94,0.01
1942-01-01,0.008067371077758793,0.79,7.45,10.1,0.02
1942-02-01,-0.024805118918971115,-2.46,1.74,-1.15,0.01
1942-03-01,-0.06817178010333398,-6.6,1.87,-0.61,0.01
1942-04-01,-0.04457904339796736,-4.37,-0.44,2.09,0.01
1942-05-01,0.058174564051072235,5.96,-3.2,-2.67,0.03
1942-06-01,0.026641930946421092,2.68,-1.28,0.43,0.02
1942-07-01,0.034787825485664024,3.51,-0.15,2.41,0.03
1942-08-01,0.018134570195482678,1.8,-0.04,1.33,0.03
1942-09-01,0.02615495747685118,2.62,0.63,2.39,0.03
1942-10-01,0.06625579577706527,6.82,1.69,6.47,0.03
1942-11-01,0.0015987213636970735,0.13,-1.42,-4.23,0.03
1942-12-01,0.050407902543845765,5.14,-2.55,0.55,0.03
1943-01-01,0.06915285868831672,7.13,8.77,8.23,0.03
1943-02-01,0.060059756427662876,6.16,4.84,6.52,0.03
1943-03-01,0.058834785720892555,6.03,5.13,5.49,0.03
1943-04-01,0.008364916331627672,0.81,2.09,5.86,0.03
1943-05-01,0.05609673935187022,5.75,4.46,3.28,0.02
1943-06-01,0.01833095668472342,1.82,-0.98,-0.75,0.03
1943-07-01,-0.04866517198128101,-4.78,-2.31,-2.23,0.03
1943-08-01,0.0132123314721349,1.3,-0.64,-0.47,0.03
1943-09-01,0.024009452460351854,2.4,1.3,1.42,0.03
1943-10-01,-0.011263192278710714,-1.15,0.6,1.68,0.03
1943-11-01,-0.06081213939675736,-5.93,-1.57,-3.99,0.03
1943-12-01,0.0620353909194527,6.37,3.1,2.9,0.03
1944-01-01,0.017545179215748864,1.74,2.61,2.29,0.03
1944-02-01,0.003992021269537457,0.37,-0.08,0.85,0.03
1944-03-01,0.02449747160038737,2.46,1.65,3.35,0.02
1944-04-01,-0.016739324004297996,-1.69,-1.31,-1.06,0.03
1944-05-01,0.049837234847171584,5.08,1.68,1.03,0.03
1944-06-01,0.05391984198943033,5.51,4.11,1.89,0.03
1944-07-01,-0.014707628872274288,-1.49,0.58,-0.42,0.03
1944-08-01,0.01577491911536224,1.56,2.37,-1.44,0.03
1944-09-01,0.0003999200213268913,0.02,0.48,-1.2,0.02
1944-10-01,0.0018981972830802655,0.16,-0.16,-0.36,0.03
1944-11-01,0.017250353406527672,1.71,0.35,2.38,0.03
1944-12-01,0.03979746987406606,4.04,2.23,5.87,0.02
1945-01-01,0.020194707285519253,2.01,2.45,0.68,0.03
1945-02-01,0.06062462181643484,6.23,1.62,4.43,0.02
1945-03-01,-0.039676817152898426,-3.91,-1.66,-1.57,0.02
1945-04-01,0.07538572690588966,7.8,0.48,3.11,0.03
1945-05-01,0.017545179215748864,1.74,1.53,0.34,0.03
1945-06-01,0.0040916179032535575,0.39,3.14,4.27,0.02
1945-07-01,-0.02163230012711384,-2.17,-1.45,-2.73,0.03
1945-08-01,0.06062462181643484,6.22,1.6,-4.4,0.03
1945-09-01,0.04688358589885046,4.77,1.74,0.46,0.03
1945-10-01,0.038451186374252634,3.89,2.36,2.14,0.03
1945-11-01,0.05278218543896948,5.4,4.18,4.35,0.02
1945-12-01,0.012126179797840555,1.19,2.16,-2.4,0.03
1946-01-01,0.0608128393965124,6.24,3.98,2.28,0.03
1946-02-01,-0.05985616715336565,-5.84,-0.68,-1.27,0.03
1946-03-01,0.05741949086748642,5.88,0.3,-0.37,0.03
1946-04-01,0.04171759335186847,4.23,2.37,0.46,0.03
1946-05-01,0.03893221000178754,3.94,1.48,1.1,0.03
1946-06-01,-0.0393647235222767,-3.89,-1.55,-0.53,0.03
1946-07-01,-0.02696018158278308,-2.69,-1.91,0.05,0.03
1946-08-01,-0.06646036670026981,-6.46,-1.8,0.6,0.03
1946-09-01,-0.10702857275852336,-10.18,-4.43,-1.97,0.03
1946-10-01,-0.0142003494011414,-1.44,0.17,3.45,0.03
1946-11-01,9.999500033329732e-05,-0.02,-0.37,1.53,0.03
1946-12-01,0.04879016416943205,4.97,0.0,-1.41,0.03
1947-01-01,0.012718772407774612,1.25,2.2,-0.74,0.03
1947-02-01,-0.010656580188528888,-1.09,0.7,0.14,0.03
1947-03-01,-0.01663764115302325,-1.68,-1.6,0.61,0.03
1947-04-01,-0.048875167782136686,-4.8,-3.97,0.85,0.03
1947-05-01,-0.009343515003152466,-0.96,-3.27,0.32,0.03
1947-06-01,0.051928092860359105,5.3,-0.33,-0.64,0.03
1947-07-01,0.040757992472167826,4.13,1.47,2.76,0.03
1947-08-01,-0.01724789340955339,-1.74,0.33,0.14,0.03
1947-09-01,-0.004811556997222082,-0.54,1.62,1.36,0.06
1947-10-01,0.0249852526939086,2.47,0.52,0.11,0.06
1947-11-01,-0.019488676583862413,-1.99,-1.69,1.07,0.06
1947-12-01,0.030432207120201914,3.01,-2.47,3.74,0.08
1948-01-01,-0.0393647235222767,-3.93,2.52,1.38,0.07
1948-02-01,-0.0440563861969199,-4.38,-1.7,0.05,0.07
1948-03-01,0.07881118042428985,8.11,0.12,4.52,0.09
1948-04-01,0.03662118345564541,3.65,-1.64,4.12,0.08
1948-05-01,0.071389996086673,7.32,0.87,-1.27,0.08
1948-06-01,-0.0002000200026670447,-0.11,-1.78,2.84,0.09
1948-07-01,-0.05129329438755058,-5.08,-0.38,0.11,0.08
1948-08-01,0.0032945669494301114,0.24,-1.13,0.29,0.09
1948-09-01,-0.029943876373072074,-2.99,-1.27,-1.77,0.04
1948-10-01,0.058268908123975824,5.96,-1.48,0.58,0.04
1948-11-01,-0.09761282886700041,-9.34,-0.61,-4.15,0.04
1948-12-01,0.03246719013750141,3.26,-2.85,-1.95,0.04
1949-01-01,0.0032945669494301114,0.23,1.71,1.25,0.1
1949-02-01,-0.0288110818541196,-2.93,-1.87,-0.89,0.09
1949-03-01,0.04066198171888972,4.05,2.48,1.31,0.1
1949-04-01,-0.01796032537699287,-1.87,-0.92,-1.12,0.09
1949-05-01,-0.029222858676903284,-2.98,-0.78,-2.39,0.1
1949-06-01,0.001998002662673058,0.1,-0.86,-1.65,0.1
1949-07-01,0.05477223584697948,5.54,0.55,0.39,0.09
1949-08-01,0.02644717001484823,2.59,0.14,-0.59,0.09
1949-09-01,0.03130484982841253,3.09,1.05,0.23,0.09
1949-10-01,0.031789322489407336,3.14,1.03,-0.49,0.09
1949-11-01,0.01872361399810251,1.81,-0.94,-0.9,0.08
1949-12-01,0.050978244764629456,5.14,2.08,1.73,0.09
1950-01-01,0.017741681476157126,1.7,3.34,0.15,0.09
1950-02-01,0.015578029963318462,1.48,0.02,-0.79,0.09
1950-03-01,0.0135083500247923,1.26,-1.43,-2.78,0.1
1950-04-01,0.03950913309471249,3.94,2.0,1.33,0.09
1950-05-01,0.043251041994314954,4.32,-2.13,0.47,0.1
1950-06-01,-0.06038715001509513,-5.96,-2.41,-0.79,0.1
1950-07-01,0.014593002302900086,1.37,0.54,13.69,0.1
1950-08-01,0.04840913920768763,4.86,0.74,-1.37,0.1
1950-09-01,0.04802796901058147,4.82,0.59,-1.1,0.1
1950-10-01,-0.0007002451143934259,-0.19,-0.66,1.36,0.12
1950-11-01,0.02810143011087478,2.74,-0.89,3.19,0.11
1950-12-01,0.055245474225978475,5.57,1.53,7.27,0.11
1951-01-01,0.056663847117541764,5.7,1.67,3.79,0.13
1951-02-01,0.014888612493750559,1.4,0.14,-2.79,0.1
1951-03-01,-0.02071304159754157,-2.16,-0.66,-4.26,0.11
1951-04-01,0.0486949215387586,4.86,-1.48,3.26,0.13
1951-05-01,-0.02265469056480615,-2.36,-0.08,-1.42,0.12
1951-06-01,-0.025420377346911223,-2.63,-1.96,-3.98,0.12
1951-07-01,0.06840603266406037,6.95,-2.05,2.0,0.13
1951-08-01,0.043251041994314954,4.29,0.95,-0.17,0.13
1951-09-01,0.008166562666393401,0.7,1.86,0.62,0.12
1951-10-01,-0.023985362750511198,-2.53,-0.23,0.18,0.16
1951-11-01,0.006876303939432064,0.58,-0.33,-0.08,0.11
1951-12-01,0.033918218203460644,3.33,-2.24,-1.55,0.12
1952-01-01,0.015873349156290163,1.45,-0.65,1.48,0.15
1952-02-01,-0.025522957231085892,-2.64,0.85,-0.62,0.12
1952-03-01,0.044495239886551304,4.44,-2.97,2.23,0.11
1952-04-01,-0.04971559224593286,-4.97,0.49,-0.03,0.12
1952-05-01,0.03275756423817229,3.2,-1.0,0.02,0.13
1952-06-01,0.03912455468405008,3.84,-1.63,1.24,0.15
1952-07-01,0.010544213875671097,0.91,-0.41,-0.32,0.15
1952-08-01,-0.0062192998139168326,-0.77,1.15,0.09,0.15
1952-09-01,-0.018978966597802856,-2.04,1.09,-1.42,0.16
1952-10-01,-0.005213567052887434,-0.66,-1.03,-0.55,0.14
1952-11-01,0.058834785720892555,5.96,-0.72,1.02,0.1
1952-12-01,0.030432207120201914,2.93,-1.51,0.19,0.16
1953-01-01,-0.0018016219466282088,-0.34,3.54,1.28,0.16
1953-02-01,-0.0013008457330480696,-0.27,2.22,-0.05,0.14
1953-03-01,-0.012680053157374483,-1.44,-0.21,-0.84,0.18
1953-04-01,-0.027062919549689073,-2.83,0.26,1.55,0.16
1953-05-01,0.006776984279023669,0.51,-0.05,0.25,0.17
1953-06-01,-0.01724789340955339,-1.89,-1.89,-0.5,0.18
1953-07-01,0.025180298530298326,2.4,-1.04,-0.25,0.15
1953-08-01,-0.044892768890736685,-4.56,0.37,-3.52,0.17
1953-09-01,0.0036931718376176067,0.21,-0.85,-2.44,0.16
1953-10-01,0.04621542379696289,4.6,-1.36,-0.19,0.13
1953-11-01,0.028781801425451947,2.84,-1.3,-0.15,0.08
1953-12-01,0.0014988761237359487,0.02,-0.85,-2.83,0.13
1954-01-01,0.05107327018400062,5.13,0.5,3.45,0.11
1954-02-01,0.017250353406527672,1.67,-0.18,-0.27,0.07
1954-03-01,0.03671758293516286,3.66,-0.5,-1.45,0.08
1954-04-01,0.042676274280436396,4.27,-3.47,-0.37,0.09
1954-05-01,0.03101405352916954,3.1,0.39,2.45,0.05
1954-06-01,0.011335509663745679,1.08,0.38,0.02,0.06
1954-07-01,0.04926624130291805,5.0,1.05,4.14,0.05
1954-08-01,-0.02326862693935433,-2.35,2.68,-1.42,0.05
1954-09-01,0.062880898039201,6.4,-2.56,0.68,0.09
1954-10-01,-0.016129381929883644,-1.67,0.61,0.64,0.07
1954-11-01,0.0904803531283746,9.41,-2.65,4.45,0.06
1954-12-01,0.054204054013512186,5.49,2.18,5.68,0.08
1955-01-01,0.006776984279023669,0.6,0.24,2.1,0.08
1955-02-01,0.030626193541760747,3.02,1.55,0.61,0.09
1955-03-01,-0.0005001250416822429,-0.15,-0.65,1.93,0.1
1955-04-01,0.03159556158975058,3.11,-1.75,0.75,0.1
1955-05-01,0.010742096531902029,0.94,-0.25,-0.96,0.14
1955-06-01,0.06438225892926822,6.55,-4.61,1.85,0.1
1955-07-01,0.01970458327433543,1.89,-1.2,0.39,0.1
1955-08-01,0.0037927982386962624,0.22,-0.46,0.75,0.16
1955-09-01,-0.0021022080918701985,-0.37,0.3,-1.01,0.16
1955-10-01,-0.025215249141063763,-2.67,1.46,-0.11,0.18
1955-11-01,0.06961934188005707,7.04,-2.2,0.33,0.17
1955-12-01,0.01656208829897823,1.49,1.98,-2.11,0.18
1956-01-01,-0.02850236047271215,-3.03,0.5,0.82,0.22
1956-02-01,0.03893221000178754,3.78,-0.97,-0.46,0.19
1956-03-01,0.06569410319536252,6.64,-2.13,-0.49,0.15
1956-04-01,0.0046889894861314695,0.28,-0.03,-0.16,0.19
1956-05-01,-0.05118803676943319,-5.22,1.5,-1.32,0.23
1956-06-01,0.03604259134692931,3.47,-1.53,-1.1,0.2
1956-07-01,0.04936142953772409,4.84,-1.69,-0.07,0.22
