Unnamed: 0,Date,Price,Dividend,Earnings,CPI,Rate GS10,Real Price,Real Dividend, Real Total Return ,Real Earnings, Real TR Scaled Earnings ,Cyclically Adjusted Price Earnings Ratio P/E10 or CAPE,Cyclically Adjusted Total Return Price Earnings Ratio TR P/E10 or TR CAPE,Excess Cape Yield,Monthly Total Bond Returns,Real Total Bond Returns,10 Y Annalized Stock Real Return,10 Y Annualized Bonds Real Return,Real 10 Year Excess Annualized Returns,Real_Stock_Log_Ret,Real_Bond_Log_Ret,Inflation_Log,Stock_Log_Return,Bond_Log_Return,TB3MS,INDPRO,Gold_price,AAA,BAA
0,1934-01-01,10.54,0.44,0.44,13.2,3.12,258.15,10.8,7283.51,10.88,306.96,13.03,17.72,1.89,1.0,13.03,3.91,0.28,3.63,0.0590763448705733,0.0038446798608096,0.0,0.0590763448705733,0.0038446798608096,0.72,5.0267,34.69,4.35,7.01
1,1934-02-01,11.32,0.44,0.45,13.3,3.09,275.17,10.74,7788.94,10.9,308.46,13.93,18.95,1.55,1.0,13.0,3.19,0.34,2.85,0.0670918898647865,-0.0023050336752169,0.0075472056353831,0.0746390955001696,0.0052421719601661,0.62,5.2686,34.69,4.2,6.27
2,1934-03-01,10.74,0.44,0.45,13.3,3.07,261.07,10.76,7415.24,11.0,312.42,13.25,18.04,2.0,1.0,13.06,4.03,0.32,3.71,-0.0491674368468965,0.0046047663867483,0.0,-0.0491674368468965,0.0046047663867483,0.24,5.5106,34.69,4.13,6.26
3,1934-04-01,10.92,0.44,0.46,13.3,3.04,265.45,10.78,7565.02,11.1,316.39,13.52,18.4,1.94,1.0,13.12,3.63,0.24,3.39,0.0199976491008489,0.0045836596676578,0.0,0.0199976491008489,0.0045836596676578,0.15,5.5106,34.69,4.07,6.01
4,1934-05-01,9.81,0.44,0.46,13.3,3.01,238.47,10.8,6821.69,11.2,320.43,12.18,16.58,2.77,1.0,13.19,4.93,0.22,4.71,-0.1034277492465687,0.0053211832132802,0.0,-0.1034277492465687,0.0053211832132802,0.16,5.6181,34.69,4.01,6.05
5,1934-06-01,9.94,0.45,0.47,13.4,2.98,239.82,10.74,6886.1,11.22,322.14,12.29,16.73,2.8,1.0,13.15,5.3,0.22,5.08,0.009397645285494,-0.0030372081054495,0.0074906717291576,0.0168883170146517,0.004453463623708,0.15,5.5106,34.69,3.93,6.06
6,1934-07-01,9.47,0.45,0.47,13.4,2.96,228.48,10.76,6586.24,11.32,326.32,11.74,16.0,3.15,1.0,13.22,6.03,0.14,5.89,-0.0445222628043456,0.0053090757997666,0.0,-0.0445222628043456,0.0053090757997666,0.15,5.1342,34.69,3.89,6.13
7,1934-08-01,9.1,0.45,0.47,13.4,2.93,219.56,10.78,6354.8,11.42,330.52,11.32,15.43,3.56,1.0,13.28,6.29,0.12,6.17,-0.0357721913618036,0.0045283096247473,0.0,-0.0357721913618036,0.0045283096247473,0.19,5.0805,34.69,3.93,6.49
8,1934-09-01,8.88,0.45,0.48,13.6,2.9,211.1,10.64,6135.63,11.35,329.93,10.91,14.89,4.0,1.0,13.15,6.54,0.25,6.29,-0.0350976704865084,-0.0098373854245141,0.0148150857851406,-0.0202825847013677,0.0049777003606265,0.21,4.7848,34.69,3.96,6.57
9,1934-10-01,8.95,0.45,0.48,13.5,2.87,214.34,10.74,6255.81,11.54,336.7,11.11,15.17,3.74,1.0,13.31,6.63,0.15,6.48,0.0193978695605939,0.0120938737832466,-0.0073801072976225,0.0120177622629714,0.0047137664856241,0.27,4.9998,34.69,3.9,6.4
10,1934-11-01,9.2,0.45,0.49,13.5,2.85,220.33,10.76,6456.72,11.63,340.94,11.45,15.65,3.5,1.0,13.37,6.27,0.13,6.13,0.0316108169750424,0.0044977587068313,0.0,0.0316108169750424,0.0044977587068313,0.25,5.0536,34.69,3.86,6.37
11,1934-12-01,9.26,0.45,0.49,13.4,2.82,223.42,10.86,6573.84,11.82,347.86,11.64,15.92,3.25,1.0,13.54,6.29,-0.02,6.3,0.0179766877305836,0.012634876370277,-0.007434978487518,0.0105417092430655,0.0051998978827589,0.23,5.3761,34.69,3.81,6.23
12,1935-01-01,9.26,0.45,0.57,13.6,2.79,220.13,10.7,6503.4,13.55,400.32,11.5,15.73,3.53,1.0,13.4,6.76,0.11,6.64,-0.0107730195758209,-0.0103935605272631,0.0148150857851406,0.0040420662093197,0.0044215252578774,0.2,5.8062,34.84,3.77,5.98
13,1935-02-01,8.98,0.45,0.65,13.7,2.78,211.92,10.62,6286.86,15.34,455.06,11.09,15.18,3.99,1.0,13.35,7.51,0.19,7.33,-0.0338633760870568,-0.0037383221106072,0.0073260400920728,-0.0265373359949839,0.0035877179814656,0.19,5.9138,34.84,3.69,5.95
14,1935-03-01,8.41,0.45,0.73,13.7,2.77,198.47,10.62,5914.06,17.23,513.35,10.4,14.24,4.54,1.0,13.39,8.21,0.19,8.02,-0.0611291741840911,0.0029917748568226,0.0,-0.0611291741840911,0.0029917748568226,0.15,5.8869,34.84,3.67,6.2
15,1935-04-01,9.04,0.45,0.76,13.8,2.76,211.79,10.46,6337.01,17.73,530.42,11.1,15.2,4.07,1.0,13.34,7.77,0.26,7.51,0.0690744815774307,-0.0037411192156035,0.0072727593290798,0.0763472409065105,0.0035316401134763,0.15,5.7794,34.84,3.66,6.13
16,1935-05-01,9.75,0.44,0.78,13.8,2.74,228.42,10.39,6860.61,18.35,551.19,11.99,16.4,3.37,1.0,13.38,7.29,0.2,7.09,0.0793893106934249,0.0029940142126046,0.0,0.0793893106934249,0.0029940142126046,0.15,5.7794,34.84,3.65,5.94
17,1935-06-01,10.12,0.44,0.81,13.7,2.73,238.82,10.38,7198.93,19.12,576.2,12.54,17.14,2.82,1.0,13.53,6.89,0.02,6.87,0.0481360447998434,0.0111483874826142,-0.0072727593290799,0.0408632854707635,0.0038756281535342,0.15,5.86,34.84,3.61,5.77
18,1935-07-01,10.65,0.44,0.79,13.7,2.72,251.33,10.38,7602.03,18.72,566.29,13.2,18.02,2.33,1.0,13.57,6.13,0.02,6.11,0.0544829130220102,0.002952031664081,0.0,0.0544829130220102,0.002952031664081,0.15,5.86,34.84,3.56,5.67
19,1935-08-01,11.37,0.44,0.78,13.7,2.71,268.32,10.38,8142.14,18.33,556.18,14.11,19.22,1.85,1.0,13.61,5.48,0.02,5.46,0.0686377278362092,0.0029433428165969,0.0,0.0686377278362092,0.0029433428165969,0.16,6.075,34.84,3.6,5.58
20,1935-09-01,11.61,0.44,0.76,13.7,2.7,273.98,10.38,8340.27,17.94,545.96,14.42,19.62,1.71,1.0,13.66,5.96,0.02,5.94,0.0240425452219522,0.0036670374792693,0.0,0.0240425452219522,0.0036670374792693,0.2,6.2363,34.84,3.59,5.53
21,1935-10-01,11.92,0.45,0.76,13.7,2.69,281.3,10.62,8589.9,17.94,547.68,14.83,20.14,1.53,1.0,13.7,6.11,0.02,6.1,0.0294915045375177,0.002923978691435,0.0,0.0294915045375177,0.002923978691435,0.2,6.4245,34.84,3.52,5.54
22,1935-11-01,13.04,0.46,0.76,13.8,2.67,305.5,10.78,9356.33,17.81,545.31,16.13,21.87,0.9,1.0,13.65,5.58,0.09,5.49,0.0854660250985856,-0.0036563112031104,0.0072727593290798,0.0927387844276655,0.0036164481259694,0.16,6.5589,34.84,3.47,5.43
23,1935-12-01,13.04,0.47,0.76,13.8,2.66,305.5,11.01,9384.44,17.81,546.95,16.16,21.87,0.96,1.0,13.69,5.7,0.03,5.67,0.0029998789890486,0.0029261176693887,0.0,0.0029998789890486,0.0029261176693887,0.15,6.6395,34.84,3.44,5.3
24,1936-01-01,13.76,0.48,0.77,13.8,2.65,322.37,11.25,9931.38,18.04,555.75,17.09,23.08,0.63,1.0,13.74,5.55,0.03,5.52,0.0566464426384255,0.0036456474938458,0.0,0.0566464426384255,0.0036456474938458,0.2,6.532,34.87,3.37,5.0
25,1936-02-01,14.55,0.49,0.78,13.8,2.65,340.88,11.48,10531.04,18.27,564.55,18.1,24.41,0.3,1.0,13.76,5.05,0.08,4.97,0.0586276454900762,0.0014545457109943,0.0,0.0586276454900762,0.0014545457109943,0.2,6.3707,34.87,3.32,4.8
26,1936-03-01,14.86,0.5,0.79,13.7,2.66,350.68,11.8,10864.3,18.64,577.58,18.66,25.1,0.12,1.0,13.89,4.33,-0.11,4.44,0.0311550978725169,0.0094033242610548,-0.0072727593290799,0.023882338543437,0.0021305649319749,0.2,6.4514,34.87,3.29,4.86
27,1936-04-01,14.88,0.52,0.82,13.7,2.66,351.15,12.19,10910.4,19.35,601.25,18.72,25.13,0.05,1.0,13.92,4.91,-0.17,5.08,0.0042342782107354,0.002157498140021,0.0,0.0042342782107354,0.002157498140021,0.2,6.8546,34.87,3.29,4.91
28,1936-05-01,14.09,0.53,0.85,13.7,2.66,332.51,12.59,10363.74,20.06,625.21,17.75,23.79,0.39,1.0,13.95,5.45,-0.23,5.68,-0.0514032872381261,0.002152853361101,0.0,-0.0514032872381261,0.002152853361101,0.2,6.989,34.87,3.27,4.94
